"artifact_id","artifact_type","paper_section","paper_label","repository_path","source_project","source_branch","source_commit","producing_run","evidence_role","verification_status","sha256","notes"
"FIG-008","figure","Experimental Results","fig:odst_faithfulness_matrix","paper/manuscript/source/figures/fig_odst_faithfulness_matrix.png","","","","","","UNRESOLVED","337FDBD4C8CBD495FD98CB375CD302FA67F9E94E5B44D06EF286A52B426C9B12","Caption: Reference-centred ODST faithfulness across the final CERT r5.2
students. Every seed--\(k\) combination was supported, and the centred
contributions reconstructed the ODST readout exactly. | LaTeX source: paper/manuscript/source/04_experimental_results.tex | Line: 495"
"FIG-009","figure","Experimental Results","fig:odst_calibration","paper/manuscript/source/figures/fig_odst_calibration_compact.png","","","","","","UNRESOLVED","F0579DC57F84B29C0565F7ED4D99C41BF8794B923A621B0912A2DF26E9199911","Caption: Seed-42 ODST calibration before and after grouped out-of-fold
temperature scaling. Lower values indicate better probability
calibration. | LaTeX source: paper/manuscript/source/04_experimental_results.tex | Line: 597"
"TAB-004","table","Experimental Results","tab:dataset_sequence_summary","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: Verified CERT r4.2 Preparation Summary | LaTeX source line: 31 | Producing table or run provenance not yet assigned"
"TAB-005","table","Experimental Results","tab:sequence_distribution_results","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: Chronological CERT r4.2 Sequence Distribution | LaTeX source line: 66 | Producing table or run provenance not yet assigned"
"TAB-006","table","Experimental Results","tab:temporal_window_comparison","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: CERT r4.2 Temporal-Window Development Results | LaTeX source line: 100 | Producing table or run provenance not yet assigned"
"TAB-007","table","Experimental Results","tab:standalone_baselines","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: Standalone CERT r4.2 Development Results | LaTeX source line: 137 | Producing table or run provenance not yet assigned"
"TAB-008","table","Experimental Results","tab:r52_test_summary","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: CERT r5.2 One-Pass Reference-Model Test Summary | LaTeX source line: 204 | Producing table or run provenance not yet assigned"
"TAB-009","table","Experimental Results","tab:r52_teacher_reproducibility","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: Teacher-Anchored CERT r5.2 Reproducibility | LaTeX source line: 262 | Producing table or run provenance not yet assigned"
"TAB-010","table","Experimental Results","tab:r52_same_information","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: Same-Information CERT r5.2 Comparison | LaTeX source line: 304 | Producing table or run provenance not yet assigned"
"TAB-011","table","Experimental Results","tab:r52_multiday_cohort","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: CERT r5.2 Multi-Day Malicious-Behaviour Cohort | LaTeX source line: 349 | Producing table or run provenance not yet assigned"
"TAB-012","table","Experimental Results","tab:r52_explanation_portability","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: CERT r5.2 Explanation and Degraded-Input Evidence | LaTeX source line: 457 | Producing table or run provenance not yet assigned"
"TAB-013","table","Experimental Results","tab:r52_calibration_alert","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: Seed-42 ODST Calibration and Alert Consolidation | LaTeX source line: 539 | Producing table or run provenance not yet assigned"
"TAB-014","table","Experimental Results","tab:odst_simplification_latency","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: ODST Simplification and Batch-32 Latency | LaTeX source line: 564 | Producing table or run provenance not yet assigned"
