"artifact_id","artifact_type","paper_section","paper_label","repository_path","source_project","source_branch","source_commit","producing_run","evidence_role","verification_status","sha256","notes"
"TAB-004","table","Experimental Results","tab:dataset_sequence_summary","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: Verified CERT r4.2 Preparation Summary | LaTeX source line: 31 | Producing table or run provenance not yet assigned"
"TAB-005","table","Experimental Results","tab:sequence_distribution_results","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: Chronological CERT r4.2 Sequence Distribution | LaTeX source line: 66 | Producing table or run provenance not yet assigned"
"TAB-006","table","Experimental Results","tab:temporal_window_comparison","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: CERT r4.2 Temporal-Window Development Results | LaTeX source line: 100 | Producing table or run provenance not yet assigned"
"TAB-007","table","Experimental Results","tab:standalone_baselines","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: Standalone CERT r4.2 Development Results | LaTeX source line: 137 | Producing table or run provenance not yet assigned"
"TAB-008","table","Experimental Results","tab:r52_test_summary","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: CERT r5.2 One-Pass Reference-Model Test Summary | LaTeX source line: 204 | Producing table or run provenance not yet assigned"
"TAB-009","table","Experimental Results","tab:r52_teacher_reproducibility","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: Teacher-Anchored CERT r5.2 Reproducibility | LaTeX source line: 262 | Producing table or run provenance not yet assigned"
"TAB-010","table","Experimental Results","tab:loss_ablation_predictive","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: Loss-Component Ablation: Predictive Retention (CERT r5.2 Validation,
Mean $\pm$ SD over Seeds 42, 52, 62). Differences are computed against the
corresponding frozen teacher. | LaTeX source line: 313 | Producing table or run provenance not yet assigned"
"TAB-011","table","Experimental Results","tab:loss_ablation_routing","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: Loss-Component Ablation: Routing and Explanation Fidelity Against the
Frozen Teacher (CERT r5.2 Validation, Mean over Seeds). | LaTeX source line: 341 | Producing table or run provenance not yet assigned"
"TAB-012","table","Experimental Results","tab:loss_ablation_sensitivity","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: Weight Sensitivity of the Full Objective (C5) Around the Locked Value
\(\lambda_{\mathrm{logit}}=\lambda_{\mathrm{route}}=0.5\) (CERT r5.2 Validation,
Mean $\pm$ SD over Seeds). | LaTeX source line: 380 | Producing table or run provenance not yet assigned"
"TAB-013","table","Experimental Results","tab:r52_same_information","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: Same-Information CERT r5.2 Comparison | LaTeX source line: 468 | Producing table or run provenance not yet assigned"
"TAB-014","table","Experimental Results","tab:r52_multiday_cohort","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: CERT r5.2 Multi-Day Malicious-Behaviour Cohort | LaTeX source line: 513 | Producing table or run provenance not yet assigned"
"TAB-015","table","Experimental Results","tab:r52_explanation_portability","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: CERT r5.2 Explanation and Degraded-Input Evidence | LaTeX source line: 609 | Producing table or run provenance not yet assigned"
"TAB-016","table","Experimental Results","tab:r52_calibration_alert","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: Seed-42 ODST Calibration and Alert Consolidation | LaTeX source line: 691 | Producing table or run provenance not yet assigned"
"TAB-017","table","Experimental Results","tab:odst_simplification_latency","paper/manuscript/source/04_experimental_results.tex","","","","","","UNRESOLVED","","Caption: ODST Simplification and Batch-32 Latency | LaTeX source line: 716 | Producing table or run provenance not yet assigned"
